p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season,player_name,market_value_eur,market_value_text
adamsmith,2019,93,270,2155,24,24,9828,112,29-04-1991,180.0,79.0,England,High/Medium,Defender,28,17576.0,208.0,84.5,78.0,26.0,24.38271605,3.5,1.0,0.0,2160.0,107.0,Adam Smith,500000,€500k
adamsmith,2019,93,270,2155,24,24,9828,112,29-04-1991,180.0,79.0,England,High/Medium,Goalkeeper,28,19731.0,232.0,85.04741379,79.66666667,25.77777778,24.38271605,3.5,0.0,0.0,2430.0,93.0,Adam Smith,500000,€500k
adamsmith,2019,93,270,2155,24,24,9828,112,23-11-1992,186.4,70.0,England,Medium/Medium,Defender,27,21886.0,256.0,85.4921875,81.0,25.6,20.1468069,3.0,1.0,0.0,2700.0,93.0,Adam Smith,500000,€500k
adamsmith,2019,93,270,2155,24,24,9828,112,23-11-1992,186.4,70.0,England,Medium/Medium,Goalkeeper,27,24041.0,280.0,85.86071429,82.09090909,25.45454545,20.1468069,3.0,0.0,0.0,2970.0,93.0,Adam Smith,500000,€500k
adamwebster,2019,31,489,2815,31,36,5550,60,04-01-1995,190.0,75.0,England,Medium/Medium,Defender,24,0.0,0.0,0.0,0.0,0.0,20.77562327,3.0,1.0,0.0,0.0,0.0,Adam Webster,7000000,€7.00m
adamwebster,2020,16,489,2735,29,31,5550,60,04-01-1995,190.0,75.0,England,Medium/Medium,Defender,25,2815.0,31.0,90.80645161,31.0,31.0,20.77562327,3.0,1.0,0.0,489.0,31.0,Adam Webster,7000000,€7.00m
ademolalookman,2018,78,105,701,21,30,4069,70,20-10-1997,174.0,76.6,England,High/Medium,Forward,21,0.0,0.0,0.0,0.0,0.0,25.30056811,3.5,2.0,0.0,0.0,0.0,Ademola Lookman,35000000,€35.00m
ademolalookman,2020,8,105,2872,34,34,4069,70,20-10-1997,174.0,76.6,England,High/Medium,Forward,23,701.0,21.0,33.38095238,78.0,21.0,25.30056811,3.5,2.0,0.0,105.0,78.0,Ademola Lookman,35000000,€35.00m
adnanjanuzaj,2016,42,272,1715,25,31,1715,25,05-02-1995,184.0,75.5,Belgium,Medium/Low,Midfielder,21,0.0,0.0,0.0,0.0,0.0,22.30033081,2.5,3.0,0.0,0.0,0.0,Adnan Januzaj,1200000,€1.20m
albianajeti,2019,16,32,175,9,28,175,9,26-02-1997,183.0,77.33333333,Switzerland,High/Medium,Forward,22,0.0,0.0,0.0,0.0,0.0,23.09215961,3.5,2.0,0.0,0.0,0.0,Albian Ajeti,1000000,€1.00m
aleksandarmitrovic,2017,41,96,119,6,10,5095,70,16-09-1994,188.3333333,84.66666667,Serbia,Medium/Medium,Forward,23,0.0,0.0,0.0,0.0,0.0,23.87031091,3.0,2.0,0.0,0.0,0.0,Aleksandar Mitrovic,12000000,€12.00m
aleksandarmitrovic,2020,17,96,1520,27,30,5095,70,16-09-1994,188.3333333,84.66666667,Serbia,Medium/Medium,Forward,26,119.0,6.0,19.83333333,41.0,6.0,23.87031091,3.0,2.0,0.0,96.0,41.0,Aleksandar Mitrovic,12000000,€12.00m
alexandrelacazette,2017,44,151,2291,32,33,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,Forward,26,0.0,0.0,0.0,0.0,0.0,24.00866919,4.0,2.0,0.0,0.0,0.0,Alexandre Lacazette,5000000,€5.00m
alexandrelacazette,2018,19,151,2635,35,37,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,Forward,27,2291.0,32.0,71.59375,44.0,32.0,24.00866919,4.0,2.0,0.0,151.0,44.0,Alexandre Lacazette,5000000,€5.00m
alexandrelacazette,2019,48,151,1965,30,34,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,Forward,28,4926.0,67.0,73.52238806,31.5,33.5,24.00866919,4.0,2.0,0.0,302.0,19.0,Alexandre Lacazette,5000000,€5.00m
alexandrelacazette,2020,1,151,2015,31,36,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,Forward,29,6891.0,97.0,71.04123711,37.0,32.33333333,24.00866919,4.0,2.0,0.0,453.0,48.0,Alexandre Lacazette,5000000,€5.00m
alexiwobi,2016,27,63,1522,26,35,8771,142,03-05-1996,181.0,73.5,Nigeria,Medium/Medium,Forward,20,0.0,0.0,0.0,0.0,0.0,22.4352126,3.0,2.0,0.0,0.0,0.0,Alex Iwobi,25000000,€25.00m
alexiwobi,2018,1,63,2072,35,36,8771,142,03-05-1996,181.0,73.5,Nigeria,Medium/Medium,Forward,22,1522.0,26.0,58.53846154,27.0,26.0,22.4352126,3.0,2.0,0.0,63.0,27.0,Alex Iwobi,25000000,€25.00m
alexiwobi,2019,35,63,1657,25,30,8771,142,03-05-1996,181.0,73.5,Nigeria,Medium/Medium,Forward,23,3594.0,61.0,58.91803279,14.0,30.5,22.4352126,3.0,2.0,0.0,126.0,1.0,Alex Iwobi,25000000,€25.00m
alexmccarthy,2016,291,368,0,0,9,9595,101,03-12-1989,193.0,79.0,England,Medium/Medium,Goalkeeper,27,0.0,0.0,0.0,0.0,0.0,21.20862305,3.0,0.0,0.0,0.0,0.0,Alex Mccarthy,300000,€300k
alexmccarthy,2018,52,368,2375,25,33,9595,101,03-12-1989,193.0,79.0,England,Medium/Medium,Goalkeeper,29,0.0,0.0,0.0,291.0,0.0,21.20862305,3.0,0.0,1.0,368.0,291.0,Alex Mccarthy,300000,€300k
alexmccarthy,2019,9,368,2660,28,36,9595,101,03-12-1989,193.0,79.0,England,Medium/Medium,Goalkeeper,30,2375.0,25.0,95.0,171.5,12.5,21.20862305,3.0,0.0,0.0,736.0,52.0,Alex Mccarthy,300000,€300k
alexmccarthy,2020,16,368,2850,30,37,9595,101,03-12-1989,193.0,79.0,England,Medium/Medium,Goalkeeper,31,5035.0,53.0,95.0,117.3333333,17.66666667,21.20862305,3.0,0.0,0.0,1104.0,9.0,Alex Mccarthy,300000,€300k
alexpritchard,2017,132,191,1088,14,16,3261,44,03-05-1993,171.0,62.0,England,High/Medium,Midfielder,24,0.0,0.0,0.0,0.0,0.0,21.20310523,3.5,3.0,0.0,0.0,0.0,Alex Pritchard,300000,€300k
alexpritchard,2018,16,191,2173,30,37,3261,44,03-05-1993,171.0,62.0,England,High/Medium,Midfielder,25,1088.0,14.0,77.71428571,132.0,14.0,21.20310523,3.5,3.0,1.0,191.0,132.0,Alex Pritchard,300000,€300k
alirezajahanbakhsh,2018,68,201,1075,19,24,2008,50,11-08-1993,180.0,77.0,Iran,High/High,Forward,25,0.0,0.0,0.0,0.0,0.0,23.7654321,4.0,2.0,0.0,0.0,0.0,Alireza Jahanbakhsh,800000,€800k
alirezajahanbakhsh,2019,31,201,339,10,19,2008,50,11-08-1993,180.0,77.0,Iran,High/High,Forward,26,1075.0,19.0,56.57894737,68.0,19.0,23.7654321,4.0,2.0,0.0,201.0,68.0,Alireza Jahanbakhsh,800000,€800k
alirezajahanbakhsh,2020,78,201,594,21,27,2008,50,11-08-1993,180.0,77.0,Iran,High/High,Forward,27,1414.0,29.0,48.75862069,49.5,14.5,23.7654321,4.0,2.0,0.0,402.0,31.0,Alireza Jahanbakhsh,800000,€800k
andreaschristensen,2017,12,146,2178,27,36,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,Defender,21,0.0,0.0,0.0,0.0,0.0,22.09995299,2.5,1.0,0.0,0.0,0.0,Andreas Christensen,10000000,€10.00m
andreaschristensen,2018,15,146,655,8,30,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,Defender,22,2178.0,27.0,80.66666667,12.0,27.0,22.09995299,2.5,1.0,0.0,146.0,12.0,Andreas Christensen,10000000,€10.00m
andreaschristensen,2019,40,146,1842,21,35,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,Defender,23,2833.0,35.0,80.94285714,13.5,17.5,22.09995299,2.5,1.0,0.0,292.0,15.0,Andreas Christensen,10000000,€10.00m
andreaschristensen,2020,54,146,1544,17,23,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,Defender,24,4675.0,56.0,83.48214286,22.33333333,18.66666667,22.09995299,2.5,1.0,0.0,438.0,40.0,Andreas Christensen,10000000,€10.00m
andregray,2018,43,102,1465,29,30,6251,115,26-06-1991,180.0,78.0,England,High/Medium,Forward,27,0.0,0.0,0.0,0.0,0.0,24.07407407,3.5,2.0,0.0,0.0,0.0,Andre Gray,400000,€400k
andrewrobertson,2016,42,79,2887,33,34,15150,165,11-03-1994,178.0,63.66666667,Scotland,High/High,Defender,22,0.0,0.0,0.0,0.0,0.0,20.09426419,4.0,1.0,0.0,0.0,0.0,Andrew Robertson,12000000,€12.00m
andrewrobertson,2017,2,79,2038,22,27,15150,165,11-03-1994,178.0,63.66666667,Scotland,High/High,Defender,23,2887.0,33.0,87.48484848,42.0,33.0,20.09426419,4.0,1.0,0.0,79.0,42.0,Andrew Robertson,12000000,€12.00m
andrewrobertson,2018,20,79,3384,36,37,15150,165,11-03-1994,178.0,63.66666667,Scotland,High/High,Defender,24,4925.0,55.0,89.54545455,22.0,27.5,20.09426419,4.0,1.0,0.0,158.0,2.0,Andrew Robertson,12000000,€12.00m
andrewrobertson,2019,11,79,3278,36,36,15150,165,11-03-1994,178.0,63.66666667,Scotland,High/High,Defender,25,8309.0,91.0,91.30769231,21.33333333,30.33333333,20.09426419,4.0,1.0,0.0,237.0,20.0,Andrew Robertson,12000000,€12.00m
andrewrobertson,2020,4,79,3563,38,38,15150,165,11-03-1994,178.0,63.66666667,Scotland,High/High,Defender,26,11587.0,127.0,91.23622047,18.75,31.75,20.09426419,4.0,1.0,0.0,316.0,11.0,Andrew Robertson,12000000,€12.00m
andriyyarmolenko,2018,222,419,485,9,9,1979,47,23-10-1989,189.75,82.5,Ukraine,High/Medium,Forward,29,0.0,0.0,0.0,0.0,0.0,22.91344446,3.5,2.0,0.0,0.0,0.0,Andriy Yarmolenko,1200000,€1.20m
andriyyarmolenko,2019,82,419,1061,23,24,1979,47,23-10-1989,189.75,82.5,Ukraine,High/Medium,Forward,30,485.0,9.0,53.88888889,222.0,9.0,22.91344446,3.5,2.0,1.0,419.0,222.0,Andriy Yarmolenko,1200000,€1.20m
andriyyarmolenko,2020,53,419,433,15,25,1979,47,23-10-1989,189.75,82.5,Ukraine,High/Medium,Forward,31,1546.0,32.0,48.3125,152.0,16.0,22.91344446,3.5,2.0,0.0,838.0,82.0,Andriy Yarmolenko,1200000,€1.20m
androstownsend,2019,65,65,1379,24,29,12810,168,16-07-1991,180.0,75.66666667,England,High/High,Midfielder,28,0.0,0.0,0.0,0.0,0.0,23.35390947,4.0,3.0,0.0,0.0,0.0,Andros Townsend,500000,€500k
angelgomes,2018,10,25,35,2,3,71,5,31-08-2000,168.25,61.0,England,Medium/Medium,Midfielder,18,0.0,0.0,0.0,0.0,0.0,21.54863124,3.0,3.0,0.0,0.0,0.0,Angel Gomes,18000000,€18.00m
angeloogbonna,2016,200,281,1850,20,24,12444,135,23-05-1988,191.0,86.0,Italy,Medium/Medium,Defender,28,0.0,0.0,0.0,0.0,0.0,23.57391519,3.0,1.0,0.0,0.0,0.0,Angelo Ogbonna,150000,€150k
angeloogbonna,2019,11,281,2937,31,36,12444,135,23-05-1988,191.0,86.0,Italy,Medium/Medium,Defender,31,1850.0,20.0,92.5,200.0,20.0,23.57391519,3.0,1.0,1.0,281.0,200.0,Angelo Ogbonna,150000,€150k
angeloogbonna,2020,70,281,2628,28,29,12444,135,23-05-1988,191.0,86.0,Italy,Medium/Medium,Defender,32,4787.0,51.0,93.8627451,105.5,25.5,23.57391519,3.0,1.0,0.0,562.0,11.0,Angelo Ogbonna,150000,€150k
anthonymartial,2016,7,285,1582,25,31,9291,136,05-12-1995,183.4,76.0,France,Medium/Low,Forward,21,0.0,0.0,0.0,0.0,0.0,22.59513444,2.5,2.0,0.0,0.0,0.0,Anthony Martial,6000000,€6.00m
anthonymartial,2017,14,285,1671,30,34,9291,136,05-12-1995,183.4,76.0,France,Medium/Low,Forward,22,1582.0,25.0,63.28,7.0,25.0,22.59513444,2.5,2.0,0.0,285.0,7.0,Anthony Martial,6000000,€6.00m
anthonymartial,2018,55,285,1704,27,30,9291,136,05-12-1995,183.4,76.0,France,Medium/Low,Forward,23,3253.0,55.0,59.14545455,10.5,27.5,22.59513444,2.5,2.0,0.0,570.0,14.0,Anthony Martial,6000000,€6.00m
anthonymartial,2019,74,285,2723,32,32,9291,136,05-12-1995,183.4,76.0,France,Medium/Low,Forward,24,4957.0,82.0,60.45121951,25.33333333,27.33333333,22.59513444,2.5,2.0,0.0,855.0,55.0,Anthony Martial,6000000,€6.00m
anthonymartial,2020,135,285,1611,22,23,9291,136,05-12-1995,183.4,76.0,France,Medium/Low,Forward,25,7680.0,114.0,67.36842105,37.5,28.5,22.59513444,2.5,2.0,0.0,1140.0,74.0,Anthony Martial,6000000,€6.00m
antoneerobinson,2020,10,194,2338,28,31,2338,28,08-08-1997,182.0,67.0,United States,Medium/Medium,Defender,23,0.0,0.0,0.0,0.0,0.0,20.22702572,3.0,1.0,0.0,0.0,0.0,Antonee Robinson,30000000,€30.00m
arongunnarsson,2018,79,332,2368,28,31,2368,28,22-04-1989,177.4,76.4,Iceland,Medium/High,Midfielder,29,0.0,0.0,0.0,0.0,0.0,24.27650301,3.5,3.0,0.0,0.0,0.0,Aron Gunnarsson,225000,€225k
arthurmasuaku,2016,160,321,1026,13,16,6938,92,07-11-1993,179.0,70.0,DR Congo,High/Medium,Defender,23,0.0,0.0,0.0,0.0,0.0,21.84700852,3.5,1.0,0.0,0.0,0.0,Arthur Masuaku,2500000,€2.50m
arthurmasuaku,2018,40,321,1862,23,35,6938,92,07-11-1993,179.0,70.0,DR Congo,High/Medium,Defender,25,1026.0,13.0,78.92307692,160.0,13.0,21.84700852,3.5,1.0,1.0,321.0,160.0,Arthur Masuaku,2500000,€2.50m
arthurmasuaku,2019,24,321,1030,17,24,6938,92,07-11-1993,179.0,70.0,DR Congo,High/Medium,Defender,26,2888.0,36.0,80.22222222,100.0,18.0,21.84700852,3.5,1.0,0.0,642.0,40.0,Arthur Masuaku,2500000,€2.50m
arthurmasuaku,2020,97,321,1045,12,12,6938,92,07-11-1993,179.0,70.0,DR Congo,High/Medium,Defender,27,3918.0,53.0,73.9245283,74.66666667,17.66666667,21.84700852,3.5,1.0,0.0,963.0,24.0,Arthur Masuaku,2500000,€2.50m
ashleybarnes,2016,96,468,1861,28,28,9479,142,30-10-1989,186.0,80.16666667,Austria,High/High,Forward,27,0.0,0.0,0.0,0.0,0.0,23.17223571,4.0,2.0,0.0,0.0,0.0,Ashley Barnes,200000,€200k
ashleybarnes,2017,64,468,2302,36,37,9479,142,30-10-1989,186.0,80.16666667,Austria,High/High,Forward,28,1861.0,28.0,66.46428571,96.0,28.0,23.17223571,4.0,2.0,0.0,468.0,96.0,Ashley Barnes,200000,€200k
ashleybarnes,2019,299,468,1396,19,19,9479,142,30-10-1989,186.0,80.16666667,Austria,High/High,Forward,30,4163.0,64.0,65.046875,80.0,32.0,23.17223571,4.0,2.0,0.0,936.0,64.0,Ashley Barnes,200000,€200k
ashleybarnes,2020,9,468,1396,22,25,9479,142,30-10-1989,186.0,80.16666667,Austria,High/High,Forward,31,5559.0,83.0,66.97590361,153.0,27.66666667,23.17223571,4.0,2.0,1.0,1404.0,299.0,Ashley Barnes,200000,€200k
ashleywestwood,2019,24,36,3325,35,35,11680,135,01-04-1990,172.1666667,70.0,England,Medium/Medium,Defender,29,0.0,0.0,0.0,0.0,0.0,23.61564968,3.0,1.0,0.0,0.0,0.0,Ashley Westwood,400000,€400k
ashleywestwood,2019,24,36,3325,35,35,11680,135,01-04-1990,172.1666667,70.0,England,Medium/Medium,Midfielder,29,3325.0,35.0,95.0,24.0,35.0,23.61564968,3.0,3.0,0.0,36.0,24.0,Ashley Westwood,400000,€400k
ashleywestwood,2020,12,36,3596,38,38,11680,135,01-04-1990,172.1666667,70.0,England,Medium/Medium,Defender,30,6650.0,70.0,95.0,24.0,35.0,23.61564968,3.0,1.0,0.0,72.0,24.0,Ashley Westwood,400000,€400k
ashleywestwood,2020,12,36,3596,38,38,11680,135,01-04-1990,172.1666667,70.0,England,Medium/Medium,Midfielder,30,10246.0,108.0,94.87037037,20.0,36.0,23.61564968,3.0,3.0,0.0,108.0,12.0,Ashley Westwood,400000,€400k
ashleyyoung,2016,118,125,804,12,21,7134,84,09-07-1985,175.0,65.0,England,High/Medium,Defender,31,0.0,0.0,0.0,0.0,0.0,21.2244898,3.5,1.0,0.0,0.0,0.0,Ashley Young,400000,€400k
ashleyyoung,2018,7,125,2752,30,36,7134,84,09-07-1985,175.0,65.0,England,High/Medium,Defender,33,804.0,12.0,67.0,118.0,12.0,21.2244898,3.5,1.0,0.0,125.0,118.0,Ashley Young,400000,€400k
asmirbegovic,2018,13,17,2280,24,36,6080,64,20-06-1987,199.3333333,86.0,Bosnia Herzegovina,Medium/Medium,Goalkeeper,31,0.0,0.0,0.0,0.0,0.0,21.6440532,3.0,0.0,0.0,0.0,0.0,Asmir Begovic,200000,€200k
axeltuanzebe,2019,113,333,210,5,14,955,18,14-11-1997,185.0,73.2,England,Medium/Medium,Defender,22,0.0,0.0,0.0,0.0,0.0,21.38787436,3.0,1.0,0.0,0.0,0.0,Axel Tuanzebe,5000000,€5.00m
axeltuanzebe,2020,123,333,427,8,30,955,18,14-11-1997,185.0,73.2,England,Medium/Medium,Defender,23,210.0,5.0,42.0,113.0,5.0,21.38787436,3.0,1.0,0.0,333.0,113.0,Axel Tuanzebe,5000000,€5.00m
aymericlaporte,2018,14,358,3227,35,36,6636,75,27-05-1994,189.0,85.0,France,Medium/Medium,Defender,24,0.0,0.0,0.0,0.0,0.0,23.79552644,3.0,1.0,0.0,0.0,0.0,Aymeric Laporte,9000000,€9.00m
aymericlaporte,2019,281,358,1139,15,17,6636,75,27-05-1994,189.0,85.0,France,Medium/Medium,Defender,25,3227.0,35.0,92.2,14.0,35.0,23.79552644,3.0,1.0,0.0,358.0,14.0,Aymeric Laporte,9000000,€9.00m
aymericlaporte,2020,28,358,1423,16,28,6636,75,27-05-1994,189.0,85.0,France,Medium/Medium,Defender,26,4366.0,50.0,87.32,147.5,25.0,23.79552644,3.0,1.0,1.0,716.0,281.0,Aymeric Laporte,9000000,€9.00m
bakarysako,2016,79,350,171,7,21,753,27,26-04-1988,183.6666667,90.33333333,Mali,High/Medium,Midfielder,28,0.0,0.0,0.0,0.0,0.0,26.77856792,3.5,3.0,0.0,0.0,0.0,Bakary Sako,25000,€25k
bakarysako,2017,255,350,538,16,20,753,27,26-04-1988,183.6666667,90.33333333,Mali,High/Medium,Midfielder,29,171.0,7.0,24.42857143,79.0,7.0,26.77856792,3.5,3.0,0.0,350.0,79.0,Bakary Sako,25000,€25k
bakarysako,2018,16,350,44,4,7,753,27,26-04-1988,183.6666667,90.33333333,Mali,High/Medium,Midfielder,30,709.0,23.0,30.82608696,167.0,11.5,26.77856792,3.5,3.0,1.0,700.0,255.0,Bakary Sako,25000,€25k
bartoszkapustka,2016,2,282,0,0,8,0,0,23-12-1996,179.0,67.0,Poland,Medium/Medium,Midfielder,20,0.0,0.0,0.0,0.0,0.0,20.91070816,3.0,3.0,0.0,0.0,0.0,Bartosz Kapustka,1500000,€1.50m
benchilwell,2016,63,254,754,12,27,11053,126,21-12-1996,178.0,75.16666667,England,High/High,Defender,20,0.0,0.0,0.0,0.0,0.0,23.72385642,4.0,1.0,0.0,0.0,0.0,Ben Chilwell,12000000,€12.00m
benchilwell,2017,59,254,1979,24,32,11053,126,21-12-1996,178.0,75.16666667,England,High/High,Defender,21,754.0,12.0,62.83333333,63.0,12.0,23.72385642,4.0,1.0,0.0,254.0,63.0,Ben Chilwell,12000000,€12.00m
benchilwell,2018,24,254,3420,36,36,11053,126,21-12-1996,178.0,75.16666667,England,High/High,Defender,22,2733.0,36.0,75.91666667,61.0,18.0,23.72385642,4.0,1.0,0.0,508.0,59.0,Ben Chilwell,12000000,€12.00m
benchilwell,2019,31,254,2500,27,28,11053,126,21-12-1996,178.0,75.16666667,England,High/High,Defender,23,6153.0,72.0,85.45833333,48.66666667,24.0,23.72385642,4.0,1.0,0.0,762.0,24.0,Ben Chilwell,12000000,€12.00m
benchilwell,2020,77,254,2400,27,34,11053,126,21-12-1996,178.0,75.16666667,England,High/High,Defender,24,8653.0,99.0,87.4040404,44.25,24.75,23.72385642,4.0,1.0,0.0,1016.0,31.0,Ben Chilwell,12000000,€12.00m
bendavies,2016,42,330,1845,23,34,9213,117,27-05-1981,170.0,67.0,England,High/Medium,Defender,35,0.0,0.0,0.0,0.0,0.0,23.183391,3.5,1.0,0.0,0.0,0.0,Ben Davies,5000000,€5.00m
bendavies,2016,42,330,1845,23,34,9213,117,27-05-1981,170.0,67.0,England,High/Medium,Defender,35,1845.0,23.0,80.2173913,42.0,23.0,23.183391,3.5,1.0,0.0,330.0,42.0,Ben Davies,5000000,€5.00m
bendavies,2016,42,330,1845,23,34,9213,117,24-04-1993,181.6666667,75.16666667,Wales,Medium/High,Defender,23,3690.0,46.0,80.2173913,42.0,23.0,22.77586062,3.5,1.0,0.0,660.0,42.0,Ben Davies,5000000,€5.00m
