player_id,player_name,nationality,position,club,age,date_of_birth,foot,contract_expiration_date,contract_years_remaining,total_appearances,total_minutes_played,total_goals,total_assists,total_shots,total_shots_on_target,shot_accuracy,total_successful_dribbles,total_key_passes,avg_rating,career_span_years,total_yellow_cards,total_red_cards,games_per_season_avg,minutes_per_game_avg,passing_accuracy,total_tackles,total_interceptions,total_clearances,total_clean_sheets,total_saves,save_percentage,total_goals_conceded,total_injuries,total_days_out,avg_injury_duration,max_injury_duration,min_injury_duration,injury_types_list,most_recent_injury_date,days_since_last_injury,injury_frequency,had_knee_injury,had_hamstring_injury,had_acl_injury,had_surgery,injury_severity_score,games_missed_due_injury,currently_injured,sentiment_score,mentions_count,positive_ratio,negative_ratio,neutral_ratio,engagement_rate,fan_base_size,trending_score,controversy_flag,media_coverage_score,hashtag_mentions,retweet_avg,like_avg,market_value,peak_value,transfer_history_total,number_of_transfers,value_trend,goals_per_game,assists_per_game,goal_contribution,goal_contribution_per_game,minutes_per_goal,minutes_per_assist,discipline_score,experience_score,injury_risk_score,availability_score,recovery_rate,estimated_contract_value,is_at_peak,career_stage,value_appreciation_potential,sentiment_momentum,popularity_index,public_perception_score,controversy_impact,player_quality_score,market_attractiveness,value_for_money,age_group
PL0011,Harry Kane,England,ST,Bayern Munich,31,09-11-1995,Both,15-01-2029,3,456,37685,198,90,849,345,40.82,344,548,7.01,10,30,8,45.6,82.6,85.12,602,772.5,1165.5,93,802,72.1,237,15,1679,111.9,167,11,"Meniscus Tear, Hamstring Injury, Achilles Injury, Calf Injury, Fracture, Ligament Damage, Muscle Injury, ACL Injury, Hip Injury",14-07-2023,917,1.5,0,1,1,1,4.6,348,0,0.432,5646,0.5,0.393,0.106,13.79,57790,54,0,9.29,1135,751,5250,39.43,46.7,12.73,1,Declining,0.434210526,0.197368421,288,0.631578947,189.3718593,414.1208791,-1,19.12,9.6,23.68421053,6.99375,122.2135655,0,Experienced,0,0.23328,51.46422532,0.5371,0,37.67504211,96.83385903,93.1858573,30-33
PL0012,Jude Bellingham,England,CAM,Real Madrid,21,09-01-2005,Both,15-01-2029,3,336,17233,77,91,863,501,46.22,369,666,6.95,3,47,6,112,51.3,88.73,699,772.5,1165.5,93,802,72.1,237,2,281,140.5,151,130,"Concussion, Ligament Damage",07-07-2025,193,0.2,0,0,0,0,0.77,43,0,0.194,55602,0.226,0.439,0.335,7.1,390040,58.7,1,5.15,6534,3652,17017,54.68,68.11,40.4,1,Rising,0.229166667,0.270833333,168,0.5,220.9358974,187.3152174,-0.7,9.72,1.17,87.20238095,46.83333333,169.481049,0,Emerging,24.56108266,0.113878,15.04946198,0.3091,24.409278,47.80267619,64.13553107,85.85250753,18-21
PL0013,Bukayo Saka,England,RW,Arsenal,23,17-07-2003,Left,15-01-2029,3,345,34841,230,70,830,262,35.97,818,686,7.91,5,53,8,69,101,85.12,602,772.5,1165.5,93,802,72.1,237,4,470,117.5,157,50,"Ankle Injury, Hamstring Injury",01-04-2023,1021,0.4,0,1,0,0,1.29,85,0,0.603,27255,0.544,0.34,0.117,11.54,444524,17.9,0,2.68,9561,3349,2782,117.22,132.94,74.44,1,Rising,0.666666667,0.202898551,300,0.869565217,150.8268398,490.7183099,-3.3,11.9,2.09,75.36231884,23.5,363.324224,0,Emerging,13.41068077,0.107937,71.06858758,0.5632,0,50.21886377,100,42.47916069,22-25
PL0014,Phil Foden,England,CAM,Manchester City,24,11-08-2002,Right,15-01-2030,4,466,39930,66,35,863,501,46.22,417,418,7.29,6,45,2,77.7,85.7,81.5,302,772.5,1165.5,93,802,72.1,237,4,419,104.8,156,42,"Fracture, Back Injury, Shoulder Injury",09-01-2025,372,0.4,0,0,0,1,1.15,102,0,0.205,45624,0.174,0.413,0.412,3.13,697150,17.9,1,6.7,8748,801,3784,112.82,152.68,191.5,5,Rising,0.141630901,0.075107296,101,0.216738197,595.9701493,1109.166667,3.5,15.32,1.95,78.11158798,20.96,466.2485235,0,Prime,35.33061514,0.036695,6.883756646,0.3186,18.842712,48.4835176,50.66739377,42.59665928,22-25
PL0015,Rodri,Spain,CDM,Manchester City,28,20-07-1998,Left,16-01-2027,1,280,23627,64,61,863,501,46.22,525,526,7.95,10,57,3,28,84.4,80.46,312,772.5,1165.5,93,802,72.1,237,15,1402,93.5,168,14,"Back Injury, Meniscus Tear, Achilles Injury, Calf Injury, Groin Strain, Concussion, Ligament Damage, Ankle Injury, Muscle Injury, ACL Injury, Hip Injury",29-01-2025,352,1.5,0,0,1,1,3.84,277,0,0.393,15819,0.435,0.348,0.217,4.84,132665,16.7,0,6.5,3690,646,12196,74.79,102.99,180.72,5,Stable,0.228571429,0.217857143,125,0.446428571,363.4923077,381.0806452,1.3,15.6,8.84,1.071428571,5.84375,77.27071236,1,Prime,0,0.065631,18.3916558,0.4831,0,36.10048571,47.95772656,47.63225454,26-29
PL0016,Bruno Fernandes,Portugal,CAM,Manchester United,30,24-03-1996,Both,16-01-2028,2,308,20055,36,24,863,501,46.22,351,306,6.57,10,69,3,30.8,65.1,85.76,538,772.5,1165.5,93,802,72.1,237,8,901,112.6,179,24,"Shoulder Injury, Hamstring Injury, Achilles Injury, Groin Strain, Knee Injury, Muscle Injury, ACL Injury, Hip Injury",12-09-2023,857,0.8,1,1,1,1,2.47,143,0,0,31248,0.082,0.586,0.333,5.48,487989,43.5,1,3.58,4527,2223,843,38.61,53.96,46.07,4,Stable,0.116883117,0.077922078,60,0.194805195,542.027027,802.2,0.1,16.16,6.07,53.57142857,12.51111111,79.78131313,0,Experienced,0,0,0,0.1432,18.311328,40.51268571,28.11634286,102.2789339,30-33
PL0017,Martin Ødegaard,Norway,CAM,Arsenal,26,05-10-2000,Right,15-01-2030,4,472,22644,19,110,863,501,46.22,556,735,7.86,8,54,6,59,48,82.45,530,772.5,1165.5,93,802,72.1,237,15,1232,82.1,169,10,"Knee Injury, Meniscus Tear, Shoulder Injury, Achilles Injury, Fracture, Groin Strain, Ligament Damage, Ankle Injury, Muscle Injury, ACL Injury, Hip Injury",14-04-2024,642,1.5,1,0,1,1,3.38,189,0,0.651,34635,0.572,0.247,0.181,5.52,648235,50.7,0,2.2,361,965,2542,82.95,115.73,218.94,6,Stable,0.040254237,0.233050847,129,0.273305085,1132.2,204,-1.4,17.44,8.38,59.95762712,5.13125,342.8054869,1,Prime,0,0.330057,37.56180281,0.6046,0,48.12872542,83.64706693,57.33022683,26-29
PL0018,Declan Rice,England,CDM,Arsenal,25,13-01-2001,Left,15-01-2031,5,254,23005,77,83,863,501,46.22,502,250,6.82,7,65,2,36.3,90.6,86.25,206,772.5,1165.5,93,802,72.1,237,4,192,48,64,23,"Calf Injury, Groin Strain, Ankle Injury",03-02-2024,713,0.4,0,0,0,0,0.53,36,0,0.055,603,0.161,0.518,0.321,7.95,3755,42.4,1,6.58,7364,2113,18092,51.3,64.63,155.22,6,Rising,0.303149606,0.326771654,160,0.62992126,294.9358974,273.8690476,1.5,12.08,1.33,85.82677165,9.6,265.0078583,1,Prime,0,0.02332,2.799962818,0.2325,0.312354,47.32635433,45.20312139,90.49016124,22-25
PL0019,Jamal Musiala,Germany,CAM,Bayern Munich,21,26-07-2005,Left,15-01-2030,4,263,38341,44,108,863,501,46.22,531,787,7.31,3,58,5,87.7,145.8,84.04,354,772.5,1165.5,93,802,72.1,237,8,753,94.1,176,16,"Back Injury, Meniscus Tear, Shoulder Injury, Calf Injury, Fracture, Concussion, Knee Injury",17-01-2024,730,0.8,1,0,0,1,2.06,134,0,0.158,12697,0.257,0.529,0.214,4.71,208496,26.5,1,2.92,2734,2978,10794,65.36,80.64,81.46,4,Rising,0.16730038,0.410646388,152,0.577946768,852.0222222,351.7522936,-0.8,8.26,3.66,49.04942966,10.45555556,270.1117133,0,Emerging,23.37821297,0.04187,7.031905492,0.2637,6.716713,41.22928593,43.8425012,62.12972564,18-21
PL0020,Florian Wirtz,Germany,CAM,Bayer Leverkusen,21,27-12-2005,Both,15-01-2029,3,181,19904,93,86,863,501,46.22,325,756,6.87,3,44,5,60.3,110,80.56,578,772.5,1165.5,93,802,72.1,237,8,690,86.2,176,10,"Back Injury, Meniscus Tear, Calf Injury, Groin Strain, Ankle Injury, Hip Injury",15-06-2024,580,0.8,0,0,0,1,1.89,112,0,0.058,29837,0.13,0.598,0.273,8.13,270434,13.4,1,4.61,1682,4425,12429,38.69,51.91,59.94,4,Rising,0.513812155,0.475138122,179,0.988950276,211.7446809,228.7816092,0.6,6.62,3.49,38.12154696,9.577777778,119.9199303,0,Emerging,34.16903593,0.007772,4.858530322,0.1887,17.842526,36.80570939,38.71065018,92.73295387,18-21
PL0021,Son Heung-min,South Korea,LW,Tottenham,32,08-09-1994,Right,16-01-2027,1,257,27161,123,51,1223,380,53.19,371,179,7.46,10,68,5,25.7,105.7,85.12,602,772.5,1165.5,93,802,72.1,237,5,499,99.8,155,26,"Achilles Injury, Calf Injury, Ankle Injury, Back Injury",12-12-2025,35,0.5,0,0,0,0,1.37,78,0,0.452,22842,0.397,0.304,0.299,12.96,205791,40,0,4.46,8593,1360,980,40.89,49.4,28.36,1,Declining,0.478599222,0.19844358,174,0.677042802,219.0403226,522.3269231,-1.8,15.14,2.37,69.64980545,16.63333333,42.24628197,0,Experienced,0,0.1808,58.79242831,0.4837,0,47.76536109,100,114.0256889,30-33
PL0022,Rafael Leão,Portugal,LW,AC Milan,25,18-01-2001,Right,16-01-2027,1,212,23790,54,134,420,525,49.52,849,652,6.69,7,44,2,30.3,112.2,85.12,602,772.5,1165.5,93,802,72.1,237,10,833,83.3,115,46,"Hamstring Injury, Achilles Injury, Fracture, Concussion, Muscle Injury, ACL Injury, Hip Injury",15-12-2024,397,1,0,1,1,1,2.28,200,0,0.147,50107,0.275,0.501,0.224,13.22,533361,96.5,1,5.34,996,1187,13441,60.17,67.92,128.57,4,Rising,0.254716981,0.632075472,188,0.886792453,432.5454545,176.2222222,3.6,11.24,6.28,5.660377358,7.572727273,62.16578103,1,Prime,0,0.141855,21.03070102,0.2945,25.103607,30.72907547,54.35058926,50.23553289,22-25
PL0023,Khvicha Kvaratskhelia,Georgia,LW,Napoli,23,09-04-2003,Both,15-01-2031,5,468,16674,226,84,947,443,39.46,729,278,7.83,5,50,6,93.6,35.6,85.12,602,772.5,1165.5,93,802,72.1,237,6,592,98.7,174,46,"Back Injury, Calf Injury, Groin Strain, Ligament Damage, Knee Injury",19-04-2025,272,0.6,1,0,0,0,1.62,96,0,0.444,9489,0.374,0.426,0.201,12.38,51337,69,1,8.4,931,4372,10127,85.32,119.2,19.5,1,Rising,0.482905983,0.179487179,310,0.662393162,73.45374449,196.1647059,-1,14.36,2.82,79.48717949,14.1,440.7499117,0,Emerging,39.70932958,0.30636,50.33892818,0.4886,4.042314,51.0666359,100,59.15968014,22-25
PL0024,Julián Álvarez,Argentina,ST,Atletico Madrid,24,27-04-2002,Right,16-01-2028,2,258,21637,60,99,812,356,49.95,268,488,7.71,6,16,4,43,83.9,85.12,602,772.5,1165.5,93,802,72.1,237,3,346,115.3,176,61,"Groin Strain, ACL Injury, Shoulder Injury",13-05-2025,248,0.3,0,0,1,1,0.95,66,0,0.551,38842,0.508,0.271,0.221,7.85,610950,2.5,0,4.69,6021,3162,17379,118.25,155.33,253.91,5,Rising,0.23255814,0.38372093,159,0.61627907,354.704918,216.37,4.4,11.16,3.55,74.41860465,28.825,244.3444775,0,Prime,31.35729387,0.013775,45.70719821,0.5655,0,49.08672093,100,41.1628687,22-25
PL0025,Victor Osimhen,Nigeria,ST,Napoli,26,10-07-2000,Right,15-01-2029,3,212,19756,206,36,1095,222,43.13,757,440,7.74,8,30,1,26.5,93.2,85.12,602,772.5,1165.5,93,802,72.1,237,12,1066,88.8,179,8,"Knee Injury, Meniscus Tear, Shoulder Injury, Fracture, Groin Strain, Ligament Damage, Ankle Injury, ACL Injury, Hip Injury",02-06-2023,959,1.2,1,0,1,1,2.92,227,0,0.564,63247,0.543,0.279,0.178,5.8,1033935,3.7,0,6.18,9528,1056,8415,107.88,150.53,48.7,1,Stable,0.971698113,0.169811321,242,1.141509434,95.43961353,533.9459459,6,12.24,7.32,0,6.830769231,334.3748275,1,Prime,0,0.020868,36.16252321,0.5945,0,34.597,76.90228482,31.77534901,26-29
PL0026,Lautaro Martínez,Argentina,ST,Inter Milan,27,04-11-1999,Left,15-01-2031,5,328,34360,220,72,642,391,46.86,471,331,8.05,9,62,6,36.4,104.8,85.12,602,772.5,1165.5,93,802,72.1,237,5,447,89.4,147,28,"Shoulder Injury, Groin Strain, Concussion, Muscle Injury, Hip Injury",15-06-2025,215,0.5,0,0,0,0,1.22,65,0,0.52,24093,0.408,0.37,0.222,4.59,211492,92.8,0,8.18,3581,3792,13603,124.84,149.04,97.82,4,Stable,0.670731707,0.219512195,292,0.890243902,155.4751131,470.6849315,-2.2,15.56,2.22,80.18292683,14.9,644.9041136,1,Prime,0,0.48256,24.08213922,0.5382,0,52.42498537,77.89570152,41.66003287,26-29
PL0027,Marcus Rashford,England,LW,Manchester United,27,20-06-1999,Both,15-01-2031,5,464,37748,196,39,1428,612,38.36,623,413,6.42,9,27,8,51.6,81.4,85.12,602,772.5,1165.5,93,802,72.1,237,2,99,49.5,53,46,"ACL Injury, Shoulder Injury",23-01-2023,1089,0.2,0,0,1,1,0.27,17,0,0.271,61473,0.323,0.465,0.211,6.96,619575,70,1,4.48,7981,3911,15243,87.47,112.16,61,1,Stable,0.422413793,0.084051724,235,0.506465517,191.6142132,943.7,-0.7,18.28,2.67,96.3362069,16.5,451.8564788,1,Prime,0,0.1897,20.79749729,0.3571,28.584945,49.31744138,70.51496662,55.74481901,26-29
PL0028,Leroy Sané,Germany,RW,Bayern Munich,28,15-02-1998,Right,15-01-2030,4,256,28720,114,65,490,442,54.69,483,679,7.92,10,28,7,25.6,112.2,85.12,602,772.5,1165.5,93,802,72.1,237,14,1241,88.6,167,13,"Meniscus Tear, Shoulder Injury, Calf Injury, Concussion, Ankle Injury, ACL Injury, Hip Injury",22-07-2025,178,1.4,0,0,1,1,3.4,309,0,0.522,4289,0.434,0.374,0.192,6.31,29359,64.3,0,3.6,439,887,1869,120.31,155.23,57.69,2,Stable,0.4453125,0.25390625,179,0.69921875,249.7391304,435.1515152,0.2,15.12,8.2,0,5.906666667,497.2022679,1,Prime,0,0.335646,27.54964886,0.5002,0,35.7044,62.77667329,29.43236337,26-29
PL0029,Rodrygo,Brazil,RW,Real Madrid,23,24-09-2003,Left,16-01-2027,1,228,31901,109,76,1412,256,52.76,875,298,7.2,5,72,4,45.6,139.9,85.12,602,772.5,1165.5,93,802,72.1,237,6,652,108.7,170,63,"Ankle Injury, Muscle Injury, Ligament Damage, Achilles Injury",11-08-2025,158,0.6,0,0,0,0,1.79,116,0,0.278,34088,0.35,0.372,0.278,8.12,479090,0.7,0,1.68,8584,1180,15339,88.67,99.4,66.74,1,Rising,0.478070175,0.333333333,185,0.811403509,290.0090909,414.2987013,-1.2,9.56,2.99,49.12280702,15.52857143,91.61109861,0,Emerging,12.10104883,0.001946,23.5594569,0.3586,0,41.2537614,69.98606605,46.00620208,22-25
PL0030,Federico Chiesa,Italy,RW,Liverpool,27,10-10-1999,Left,15-01-2030,4,318,17129,247,34,759,270,43.69,209,557,6.43,9,65,5,35.3,53.9,85.12,602,772.5,1165.5,93,802,72.1,237,3,226,75.3,112,45,"Knee Injury, Concussion",16-04-2023,1006,0.3,1,0,0,0,0.62,49,0,0.123,92636,0.096,0.579,0.325,8.44,1311471,45.7,1,2.55,2403,3985,3019,80.45,102.28,205.74,5,Stable,0.77672956,0.106918239,281,0.883647799,69.06854839,489.4,-1.5,15.36,1.22,84.59119497,18.825,332.4737965,1,Prime,0,0.056211,11.87240115,0.1877,53.636244,46.08563899,58.41142122,56.58150889,26-29
PL0031,Toni Kroos,Germany,CM,Real Madrid,34,04-12-1992,Right,16-01-2028,2,355,33757,85,107,863,501,46.22,411,737,7.88,10,59,4,35.5,95.1,89.49,485,772.5,1165.5,93,802,72.1,237,18,2035,113.1,180,43,"Knee Injury, Meniscus Tear, Shoulder Injury, Hamstring Injury, Achilles Injury, Fracture, Groin Strain, Concussion, Ligament Damage, Ankle Injury, ACL Injury, Hip Injury",27-10-2024,446,1.8,1,1,1,1,5.58,492,0,0.336,15205,0.378,0.426,0.197,10.7,123442,73.5,1,1.06,7299,3678,16526,18.08,20.04,58.06,5,Declining,0.23943662,0.301408451,192,0.54084507,392.5232558,312.5648148,0.1,17.1,10,0,5.952631579,37.35939242,0,Veteran,0,0.24696,34.61978198,0.3732,6.47733,35.6864,69.77287297,187.0356394,34+
PL0032,Casemiro,Brazil,CDM,Manchester United,32,01-04-1994,Left,16-01-2028,2,259,39857,31,29,863,501,46.22,190,746,7.95,10,51,7,25.9,153.9,82.92,265,772.5,1165.5,93,802,72.1,237,19,1711,90.1,172,14,"Ankle Injury, Achilles Injury, Hamstring Injury, Groin Strain, Concussion, Knee Injury, Muscle Injury, ACL Injury",09-05-2024,617,1.9,1,1,1,1,4.69,378,0,0.433,6687,0.43,0.293,0.277,4.71,61182,94.8,0,6.95,9085,3165,14492,22.24,25.87,17.43,1,Declining,0.11969112,0.111969112,60,0.231660232,1245.53125,1328.566667,-2.1,15.18,10,0,4.505,45.95535882,0,Experienced,0,0.410484,17.96344252,0.5131,0,35.8622,44.87626377,154.3123924,30-33
PL0033,Joshua Kimmich,Germany,CDM,Bayern Munich,29,05-07-1997,Right,16-01-2028,2,193,33589,77,29,863,501,46.22,261,375,6.78,10,47,5,19.3,174,88.26,620,772.5,1165.5,93,802,72.1,237,12,1368,114,176,20,"Back Injury, Meniscus Tear, Shoulder Injury, Hamstring Injury, Calf Injury, Fracture, Concussion, Ligament Damage, Ankle Injury, Hip Injury",09-11-2025,68,1.2,0,1,0,1,3.75,293,0,0.179,14653,0.278,0.533,0.188,9.51,149858,25.2,1,8.64,9047,1122,16992,38.33,48.24,54.23,4,Stable,0.398963731,0.150259067,106,0.549222798,430.6282051,1119.633333,0.3,13.86,6.15,0,8.769230769,79.20273846,0,Experienced,0,0.045108,16.3291634,0.3348,7.810049,30.5616,47.4745451,77.70556827,26-29
